CBSA,ZIP,num_listings
CBSA,ZIP,num_listings
"Atlanta-Sandy Springs-Roswell, GA",30187,8
"Atlanta-Sandy Springs-Roswell, GA",30043,115
"Atlanta-Sandy Springs-Roswell, GA",30052,116
"Atlanta-Sandy Springs-Roswell, GA",30157,117
"Atlanta-Sandy Springs-Roswell, GA",30265,55
"Atlanta-Sandy Springs-Roswell, GA",30132,89
"Atlanta-Sandy Springs-Roswell, GA",30004,104
"Atlanta-Sandy Springs-Roswell, GA",30016,117
"Atlanta-Sandy Springs-Roswell, GA",30005,47
"Atlanta-Sandy Springs-Roswell, GA",30188,83
"Atlanta-Sandy Springs-Roswell, GA",30269,47
"Atlanta-Sandy Springs-Roswell, GA",30045,97
"Atlanta-Sandy Springs-Roswell, GA",30101,84
"Atlanta-Sandy Springs-Roswell, GA",30017,34
"Atlanta-Sandy Springs-Roswell, GA",30248,76
"Atlanta-Sandy Springs-Roswell, GA",30014,70
"Atlanta-Sandy Springs-Roswell, GA",30054,3
"Atlanta-Sandy Springs-Roswell, GA",30263,69
"Atlanta-Sandy Springs-Roswell, GA",30046,81
"Atlanta-Sandy Springs-Roswell, GA",30180,93
"Atlanta-Sandy Springs-Roswell, GA",30024,98
"Atlanta-Sandy Springs-Roswell, GA",30102,60
"Atlanta-Sandy Springs-Roswell, GA",30189,46
"Atlanta-Sandy Springs-Roswell, GA",30041,82
"Atlanta-Sandy Springs-Roswell, GA",30116,14
"Atlanta-Sandy Springs-Roswell, GA",30205,1
"Atlanta-Sandy Springs-Roswell, GA",30276,9
"Atlanta-Sandy Springs-Roswell, GA",30115,41
"Atlanta-Sandy Springs-Roswell, GA",30114,83
"Atlanta-Sandy Springs-Roswell, GA",30179,26
"Atlanta-Sandy Springs-Roswell, GA",30040,101
"Atlanta-Sandy Springs-Roswell, GA",30519,101
"Atlanta-Sandy Springs-Roswell, GA",30518,85
"Atlanta-Sandy Springs-Roswell, GA",30019,66
"Atlanta-Sandy Springs-Roswell, GA",30284,0
"Atlanta-Sandy Springs-Roswell, GA",30121,22
"Atlanta-Sandy Springs-Roswell, GA",30120,53
"Atlanta-Sandy Springs-Roswell, GA",30184,4
"Atlanta-Sandy Springs-Roswell, GA",30233,12
"Atlanta-Sandy Springs-Roswell, GA",30234,0
"Atlanta-Sandy Springs-Roswell, GA",30655,13
"Atlanta-Sandy Springs-Roswell, GA",30070,0
"Atlanta-Sandy Springs-Roswell, GA",30137,0
"Atlanta-Sandy Springs-Roswell, GA",30011,19
"Atlanta-Sandy Springs-Roswell, GA",30289,0
"Atlanta-Sandy Springs-Roswell, GA",30153,15
"Atlanta-Sandy Springs-Roswell, GA",30680,37
"Atlanta-Sandy Springs-Roswell, GA",30620,23
"Atlanta-Sandy Springs-Roswell, GA",30224,14
"Atlanta-Sandy Springs-Roswell, GA",30292,0
"Atlanta-Sandy Springs-Roswell, GA",30028,42
"Atlanta-Sandy Springs-Roswell, GA",30275,0
"Atlanta-Sandy Springs-Roswell, GA",30656,6
"Atlanta-Sandy Springs-Roswell, GA",30025,7
"Atlanta-Sandy Springs-Roswell, GA",30107,10
"Atlanta-Sandy Springs-Roswell, GA",30178,0
"Atlanta-Sandy Springs-Roswell, GA",31064,1
"Atlanta-Sandy Springs-Roswell, GA",30055,1
"Atlanta-Sandy Springs-Roswell, GA",30164,0
"Atlanta-Sandy Springs-Roswell, GA",30259,1
"Atlanta-Sandy Springs-Roswell, GA",30183,3
"Atlanta-Sandy Springs-Roswell, GA",30548,15
"Atlanta-Sandy Springs-Roswell, GA",30117,39
"Atlanta-Sandy Springs-Roswell, GA",30220,3
"Atlanta-Sandy Springs-Roswell, GA",30056,0
"Atlanta-Sandy Springs-Roswell, GA",30251,0
"Atlanta-Sandy Springs-Roswell, GA",30517,32
"Atlanta-Sandy Springs-Roswell, GA",30110,7
"Atlanta-Sandy Springs-Roswell, GA",30171,1
"Atlanta-Sandy Springs-Roswell, GA",30257,0
"Atlanta-Sandy Springs-Roswell, GA",30506,48
"Atlanta-Sandy Springs-Roswell, GA",30230,6
"Atlanta-Sandy Springs-Roswell, GA",30216,0
"Atlanta-Sandy Springs-Roswell, GA",30218,0
"Atlanta-Sandy Springs-Roswell, GA",30293,0
"Atlanta-Sandy Springs-Roswell, GA",30222,2
"Atlanta-Sandy Springs-Roswell, GA",30258,1
"Atlanta-Sandy Springs-Roswell, GA",30206,0
"Atlanta-Sandy Springs-Roswell, GA",30666,8
"Atlanta-Sandy Springs-Roswell, GA",30542,46
"Atlanta-Sandy Springs-Roswell, GA",30143,8
"Atlanta-Sandy Springs-Roswell, GA",30113,0
"Atlanta-Sandy Springs-Roswell, GA",31085,0
"Atlanta-Sandy Springs-Roswell, GA",30504,20
"Atlanta-Sandy Springs-Roswell, GA",30145,5
"Atlanta-Sandy Springs-Roswell, GA",30534,29
"Atlanta-Sandy Springs-Roswell, GA",30217,0
"Atlanta-Sandy Springs-Roswell, GA",30295,0
"Atlanta-Sandy Springs-Roswell, GA",30663,1
"Atlanta-Sandy Springs-Roswell, GA",30641,0
"Atlanta-Sandy Springs-Roswell, GA",30204,2
"Atlanta-Sandy Springs-Roswell, GA",30104,1
"Atlanta-Sandy Springs-Roswell, GA",30161,46
"Atlanta-Sandy Springs-Roswell, GA",30256,0
"Atlanta-Sandy Springs-Roswell, GA",30139,0
"Atlanta-Sandy Springs-Roswell, GA",30170,0
"Atlanta-Sandy Springs-Roswell, GA",31029,3
"Atlanta-Sandy Springs-Roswell, GA",30125,6
"Atlanta-Sandy Springs-Roswell, GA",30182,0
"Atlanta-Sandy Springs-Roswell, GA",30176,0
"Atlanta-Sandy Springs-Roswell, GA",30622,12
"Atlanta-Sandy Springs-Roswell, GA",30118,0
"Atlanta-Sandy Springs-Roswell, GA",30650,6
"Atlanta-Sandy Springs-Roswell, GA",31024,12
"Atlanta-Sandy Springs-Roswell, GA",30621,1
"Atlanta-Sandy Springs-Roswell, GA",30549,4
"Atlanta-Sandy Springs-Roswell, GA",30103,15
"Atlanta-Sandy Springs-Roswell, GA",30108,1
"Atlanta-Sandy Springs-Roswell, GA",30177,0
"Atlanta-Sandy Springs-Roswell, GA",30148,0
"Atlanta-Sandy Springs-Roswell, GA",30175,3
"Atlanta-Sandy Springs-Roswell, GA",30734,1
"Atlanta-Sandy Springs-Roswell, GA",30623,1
"Atlanta-Sandy Springs-Roswell, GA",30677,16
"Atlanta-Sandy Springs-Roswell, GA",30286,1
"Atlanta-Sandy Springs-Roswell, GA",30513,7
"Atlanta-Sandy Springs-Roswell, GA",30533,13
"Atlanta-Sandy Springs-Roswell, GA",30536,2
"Atlanta-Sandy Springs-Roswell, GA",31038,0
"Atlanta-Sandy Springs-Roswell, GA",31046,0
"Atlanta-Sandy Springs-Roswell, GA",30285,0
"Atlanta-Sandy Springs-Roswell, GA",30564,2
"Atlanta-Sandy Springs-Roswell, GA",36280,0
"Atlanta-Sandy Springs-Roswell, GA",36269,0
"Atlanta-Sandy Springs-Roswell, GA",31816,3
"Atlanta-Sandy Springs-Roswell, GA",36262,0
