CBSA,ZIP,num_listings
"Atlanta-Sandy Springs-Roswell, GA",30187,9
"Atlanta-Sandy Springs-Roswell, GA",30043,116
"Atlanta-Sandy Springs-Roswell, GA",30052,115
"Atlanta-Sandy Springs-Roswell, GA",30157,118
"Atlanta-Sandy Springs-Roswell, GA",30265,57
"Atlanta-Sandy Springs-Roswell, GA",30132,86
"Atlanta-Sandy Springs-Roswell, GA",30004,100
"Atlanta-Sandy Springs-Roswell, GA",30016,111
"Atlanta-Sandy Springs-Roswell, GA",30005,50
"Atlanta-Sandy Springs-Roswell, GA",30188,82
"Atlanta-Sandy Springs-Roswell, GA",30269,46
"Atlanta-Sandy Springs-Roswell, GA",30045,90
"Atlanta-Sandy Springs-Roswell, GA",30101,84
"Atlanta-Sandy Springs-Roswell, GA",30017,32
"Atlanta-Sandy Springs-Roswell, GA",30248,70
"Atlanta-Sandy Springs-Roswell, GA",30014,64
"Atlanta-Sandy Springs-Roswell, GA",30054,3
"Atlanta-Sandy Springs-Roswell, GA",30263,63
"Atlanta-Sandy Springs-Roswell, GA",30046,76
"Atlanta-Sandy Springs-Roswell, GA",30180,94
"Atlanta-Sandy Springs-Roswell, GA",30024,100
"Atlanta-Sandy Springs-Roswell, GA",30102,56
"Atlanta-Sandy Springs-Roswell, GA",30189,49
"Atlanta-Sandy Springs-Roswell, GA",30041,81
"Atlanta-Sandy Springs-Roswell, GA",30116,16
"Atlanta-Sandy Springs-Roswell, GA",30205,1
"Atlanta-Sandy Springs-Roswell, GA",30276,9
"Atlanta-Sandy Springs-Roswell, GA",30115,42
"Atlanta-Sandy Springs-Roswell, GA",30114,89
"Atlanta-Sandy Springs-Roswell, GA",30179,27
"Atlanta-Sandy Springs-Roswell, GA",30040,101
"Atlanta-Sandy Springs-Roswell, GA",30519,98
"Atlanta-Sandy Springs-Roswell, GA",30518,84
"Atlanta-Sandy Springs-Roswell, GA",30019,65
"Atlanta-Sandy Springs-Roswell, GA",30284,0
"Atlanta-Sandy Springs-Roswell, GA",30121,22
"Atlanta-Sandy Springs-Roswell, GA",30120,56
"Atlanta-Sandy Springs-Roswell, GA",30184,3
"Atlanta-Sandy Springs-Roswell, GA",30233,11
"Atlanta-Sandy Springs-Roswell, GA",30234,0
"Atlanta-Sandy Springs-Roswell, GA",30655,12
"Atlanta-Sandy Springs-Roswell, GA",30070,0
"Atlanta-Sandy Springs-Roswell, GA",30137,1
"Atlanta-Sandy Springs-Roswell, GA",30011,17
"Atlanta-Sandy Springs-Roswell, GA",30289,0
"Atlanta-Sandy Springs-Roswell, GA",30153,15
"Atlanta-Sandy Springs-Roswell, GA",30680,30
"Atlanta-Sandy Springs-Roswell, GA",30620,23
"Atlanta-Sandy Springs-Roswell, GA",30224,15
"Atlanta-Sandy Springs-Roswell, GA",30292,0
"Atlanta-Sandy Springs-Roswell, GA",30028,42
"Atlanta-Sandy Springs-Roswell, GA",30275,0
"Atlanta-Sandy Springs-Roswell, GA",30656,4
"Atlanta-Sandy Springs-Roswell, GA",30025,7
"Atlanta-Sandy Springs-Roswell, GA",30107,10
"Atlanta-Sandy Springs-Roswell, GA",30178,0
"Atlanta-Sandy Springs-Roswell, GA",31064,1
"Atlanta-Sandy Springs-Roswell, GA",30055,1
"Atlanta-Sandy Springs-Roswell, GA",30164,0
"Atlanta-Sandy Springs-Roswell, GA",30259,1
"Atlanta-Sandy Springs-Roswell, GA",30183,4
"Atlanta-Sandy Springs-Roswell, GA",30548,15
"Atlanta-Sandy Springs-Roswell, GA",30117,33
"Atlanta-Sandy Springs-Roswell, GA",30220,3
"Atlanta-Sandy Springs-Roswell, GA",30056,0
"Atlanta-Sandy Springs-Roswell, GA",30251,0
"Atlanta-Sandy Springs-Roswell, GA",30517,35
"Atlanta-Sandy Springs-Roswell, GA",30110,7
"Atlanta-Sandy Springs-Roswell, GA",30171,1
"Atlanta-Sandy Springs-Roswell, GA",30257,0
"Atlanta-Sandy Springs-Roswell, GA",30506,44
"Atlanta-Sandy Springs-Roswell, GA",30230,5
"Atlanta-Sandy Springs-Roswell, GA",30216,0
"Atlanta-Sandy Springs-Roswell, GA",30218,0
"Atlanta-Sandy Springs-Roswell, GA",30293,0
"Atlanta-Sandy Springs-Roswell, GA",30222,0
"Atlanta-Sandy Springs-Roswell, GA",30258,1
"Atlanta-Sandy Springs-Roswell, GA",30206,0
"Atlanta-Sandy Springs-Roswell, GA",30666,9
"Atlanta-Sandy Springs-Roswell, GA",30542,41
"Atlanta-Sandy Springs-Roswell, GA",30143,9
"Atlanta-Sandy Springs-Roswell, GA",30113,0
"Atlanta-Sandy Springs-Roswell, GA",31085,0
"Atlanta-Sandy Springs-Roswell, GA",30504,19
"Atlanta-Sandy Springs-Roswell, GA",30145,5
"Atlanta-Sandy Springs-Roswell, GA",30534,27
"Atlanta-Sandy Springs-Roswell, GA",30217,0
"Atlanta-Sandy Springs-Roswell, GA",30295,0
"Atlanta-Sandy Springs-Roswell, GA",30663,1
"Atlanta-Sandy Springs-Roswell, GA",30641,0
"Atlanta-Sandy Springs-Roswell, GA",30204,2
"Atlanta-Sandy Springs-Roswell, GA",30104,1
"Atlanta-Sandy Springs-Roswell, GA",30161,46
"Atlanta-Sandy Springs-Roswell, GA",30256,0
"Atlanta-Sandy Springs-Roswell, GA",30139,0
"Atlanta-Sandy Springs-Roswell, GA",30170,0
"Atlanta-Sandy Springs-Roswell, GA",31029,2
"Atlanta-Sandy Springs-Roswell, GA",30125,6
"Atlanta-Sandy Springs-Roswell, GA",30182,0
"Atlanta-Sandy Springs-Roswell, GA",30176,0
"Atlanta-Sandy Springs-Roswell, GA",30622,12
"Atlanta-Sandy Springs-Roswell, GA",30118,0
"Atlanta-Sandy Springs-Roswell, GA",30650,5
"Atlanta-Sandy Springs-Roswell, GA",31024,12
"Atlanta-Sandy Springs-Roswell, GA",30621,1
"Atlanta-Sandy Springs-Roswell, GA",30549,6
"Atlanta-Sandy Springs-Roswell, GA",30103,14
"Atlanta-Sandy Springs-Roswell, GA",30108,1
"Atlanta-Sandy Springs-Roswell, GA",30177,0
"Atlanta-Sandy Springs-Roswell, GA",30148,0
"Atlanta-Sandy Springs-Roswell, GA",30175,2
"Atlanta-Sandy Springs-Roswell, GA",30734,1
"Atlanta-Sandy Springs-Roswell, GA",30623,1
"Atlanta-Sandy Springs-Roswell, GA",30677,15
"Atlanta-Sandy Springs-Roswell, GA",30286,1
"Atlanta-Sandy Springs-Roswell, GA",30513,9
"Atlanta-Sandy Springs-Roswell, GA",30533,13
"Atlanta-Sandy Springs-Roswell, GA",30536,2
"Atlanta-Sandy Springs-Roswell, GA",31038,0
"Atlanta-Sandy Springs-Roswell, GA",31046,0
"Atlanta-Sandy Springs-Roswell, GA",30285,0
"Atlanta-Sandy Springs-Roswell, GA",30564,2
"Atlanta-Sandy Springs-Roswell, GA",36280,0
"Atlanta-Sandy Springs-Roswell, GA",36269,0
"Atlanta-Sandy Springs-Roswell, GA",31816,4
"Atlanta-Sandy Springs-Roswell, GA",36262,0
"Atlanta-Sandy Springs-Roswell, GA",36272,2
"Atlanta-Sandy Springs-Roswell, GA",36273,0
"Atlanta-Sandy Springs-Roswell, GA",31016,0
"Atlanta-Sandy Springs-Roswell, GA",31097,0
"Atlanta-Sandy Springs-Roswell, GA",36274,0
"Atlanta-Sandy Springs-Roswell, GA",30241,20
"Atlanta-Sandy Springs-Roswell, GA",31830,0
"Atlanta-Sandy Springs-Roswell, GA",30625,0
"Atlanta-Sandy Springs-Roswell, GA",36263,0
"Atlanta-Sandy Springs-Roswell, GA",30240,36
"Atlanta-Sandy Springs-Roswell, GA",30642,9
"Atlanta-Sandy Springs-Roswell, GA",31836,0
"Atlanta-Sandy Springs-Roswell, GA",31822,1
"Atlanta-Sandy Springs-Roswell, GA",31826,0
"Austin-Round Rock, TX",78702,149
"Austin-Round Rock, TX",78704,245
"Austin-Round Rock, TX",78703,107
"Austin-Round Rock, TX",78701,126
"Austin-Round Rock, TX",78705,562
"Austin-Round Rock, TX",78746,55
"Austin-Round Rock, TX",78722,32
"Austin-Round Rock, TX",78741,148
"Austin-Round Rock, TX",78712,0
"Austin-Round Rock, TX",78751,231
"Austin-Round Rock, TX",78723,88
"Austin-Round Rock, TX",78721,37
"Austin-Round Rock, TX",78756,44
