"CBSA","ZIP"
"Atlanta-Sandy Springs-Roswell, GA","30132"
"Atlanta-Sandy Springs-Roswell, GA","30004"
"Atlanta-Sandy Springs-Roswell, GA","30016"
"Atlanta-Sandy Springs-Roswell, GA","30005"
"Atlanta-Sandy Springs-Roswell, GA","30188"
"Atlanta-Sandy Springs-Roswell, GA","30269"
"Atlanta-Sandy Springs-Roswell, GA","30045"
"Atlanta-Sandy Springs-Roswell, GA","30101"
"Atlanta-Sandy Springs-Roswell, GA","30017"
"Atlanta-Sandy Springs-Roswell, GA","30248"
"Atlanta-Sandy Springs-Roswell, GA","30014"
"Atlanta-Sandy Springs-Roswell, GA","30054"
"Atlanta-Sandy Springs-Roswell, GA","30263"
"Atlanta-Sandy Springs-Roswell, GA","30046"
"Atlanta-Sandy Springs-Roswell, GA","30180"
"Atlanta-Sandy Springs-Roswell, GA","30024"
"Atlanta-Sandy Springs-Roswell, GA","30102"
"Atlanta-Sandy Springs-Roswell, GA","30189"
"Atlanta-Sandy Springs-Roswell, GA","30041"
"Atlanta-Sandy Springs-Roswell, GA","30116"
"Atlanta-Sandy Springs-Roswell, GA","30205"
"Atlanta-Sandy Springs-Roswell, GA","30276"
"Atlanta-Sandy Springs-Roswell, GA","30115"
"Atlanta-Sandy Springs-Roswell, GA","30114"
"Atlanta-Sandy Springs-Roswell, GA","30179"
"Atlanta-Sandy Springs-Roswell, GA","30040"
"Atlanta-Sandy Springs-Roswell, GA","30519"
"Atlanta-Sandy Springs-Roswell, GA","30518"
"Atlanta-Sandy Springs-Roswell, GA","30019"
"Atlanta-Sandy Springs-Roswell, GA","30284"
"Atlanta-Sandy Springs-Roswell, GA","30121"
"Atlanta-Sandy Springs-Roswell, GA","30120"
"Atlanta-Sandy Springs-Roswell, GA","30184"
"Atlanta-Sandy Springs-Roswell, GA","30233"
"Atlanta-Sandy Springs-Roswell, GA","30234"
"Atlanta-Sandy Springs-Roswell, GA","30655"
"Atlanta-Sandy Springs-Roswell, GA","30070"
