URL,Days_On_Trulia,Is_New
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2395595052,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103782988,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2175158955,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431558071,2,1
https://www.trulia.com/p/il/chicago/819-s-state-st-2704-chicago-il-60605--2431521373,3,0
https://www.trulia.com/p/il/chicago/40-e-9th-st-712-chicago-il-60605--2103789552,2,1
https://www.trulia.com/p/il/chicago/1235-s-prairie-ave-1407-chicago-il-60605--2103779586,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2312127396,2,1
https://www.trulia.com/p/il/chicago/601-s-clark-st-chicago-il-60605--2103791559,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431391822,4,0
https://www.trulia.com/p/il/chicago/1305-s-michigan-ave-2002-chicago-il-60605--2103782751,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103783516,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2174085091,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431552686,2,1
https://www.trulia.com/p/il/chicago/917-s-clark-st-1-chicago-il-60605--2431378034,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103783011,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2431402754,4,0
https://www.trulia.com/p/il/chicago/1211-s-prairie-ave-6100-chicago-il-60605--2410909755,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2103792436,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60605--2359944032,5,0
https://www.trulia.com/p/il/chicago/547-s-clark-st-113-chicago-il-60605--2362489620/rent,NA,0
https://www.trulia.com/c/il/chicago/190-n-wells-street-190-n-wells-st-chicago-il-60606--2103797244,2,1
https://www.trulia.com/p/il/chicago/208-w-washington-st-1404-chicago-il-60606--2103797671,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60606--2431577368,2,1
https://www.trulia.com/p/il/chicago/205-w-wacker-dr-3207-chicago-il-60606--2409644264,2,1
https://www.trulia.com/p/il/chicago/333-n-canal-st-1401-chicago-il-60606--2103801122,3,0
https://www.trulia.com/p/il/chicago/910-s-loomis-st-1r-chicago-il-60607--2431572407,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2421490004,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431558087,2,1
https://www.trulia.com/p/il/chicago/908-s-loomis-st-1r-chicago-il-60607--1000961174,4,0
https://www.trulia.com/p/il/chicago/500-s-clinton-st-241-chicago-il-60607--2103813763,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431405443,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431558067,2,1
https://www.trulia.com/p/il/chicago/1345-w-taylor-st-1r-chicago-il-60607--2424130159,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431570453,2,1
https://www.trulia.com/p/il/chicago/500-s-clinton-st-625-chicago-il-60607--2103813878,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--1017281,4,0
https://www.trulia.com/c/il/chicago/177-n-ada-street-177-n-ada-st-chicago-il-60607--2207787721,NA,1
https://www.trulia.com/p/il/chicago/1062-w-polk-st-chicago-il-60607--2213763717,3,0
https://www.trulia.com/p/il/chicago/738-s-may-st-chicago-il-60607--2103816323,3,0
https://www.trulia.com/p/il/chicago/500-s-clinton-st-510-chicago-il-60607--1009035511,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431525947,3,0
https://www.trulia.com/p/il/chicago/706-w-liberty-st-511-chicago-il-60607--2431553767,2,1
https://www.trulia.com/p/il/chicago/1200-w-monroe-st-46-chicago-il-60607--2422018281,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2430825506,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2402401895,3,0
https://www.trulia.com/p/il/chicago/36-s-ashland-ave-203a-chicago-il-60607--2431569008,2,1
https://www.trulia.com/p/il/chicago/6-throop-st-2n-chicago-il-60607--2413059433,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431525821,3,0
https://www.trulia.com/p/il/chicago/732-w-15th-st-t-chicago-il-60607--2431543793,2,1
https://www.trulia.com/p/il/chicago/1012-w-randolph-st-4-chicago-il-60607--2353869251,2,1
https://www.trulia.com/p/il/chicago/955-w-monroe-st-2-chicago-il-60607--2422021477,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431570368,2,1
https://www.trulia.com/p/il/chicago/235-w-van-buren-st-2113-chicago-il-60607--1145318,3,0
https://www.trulia.com/p/il/chicago/500-s-clinton-st-51o-chicago-il-60607--2431471633,3,0
https://www.trulia.com/p/il/chicago/1500-w-monroe-st-715g-chicago-il-60607--2431567152,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431526024,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2412636949,3,0
https://www.trulia.com/p/il/chicago/800-w-adams-st-2808-chicago-il-60607--2431569311,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431525887,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2421479267,3,0
https://www.trulia.com/p/il/chicago/1330-w-madison-st-3-eff-chicago-il-60607--1001534250,3,0
https://www.trulia.com/p/il/chicago/730-s-carpenter-st-3f-chicago-il-60607--2410622821,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2282485493,2,1
https://www.trulia.com/p/il/chicago/700-w-van-buren-st-703-chicago-il-60607--2103815534,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2407782943,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431537571,NA,0
https://www.trulia.com/p/il/chicago/111-s-morgan-st-314-chicago-il-60607--2103804290/rent,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2431558065,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60607--2103808683,2,1
https://www.trulia.com/p/il/chicago/920-w-32nd-pl-2r-chicago-il-60608--2431532571,2,1
https://www.trulia.com/p/il/chicago/2059-w-coulter-st-2-chicago-il-60608--2421497726,3,0
https://www.trulia.com/p/il/chicago/2059-w-coulter-st-1-chicago-il-60608--2421496924,3,0
https://www.trulia.com/p/il/chicago/3408-s-bell-ave-2r-chicago-il-60608--2431410474,4,0
https://www.trulia.com/p/il/chicago/2043-w-22nd-pl-1r0-chicago-il-60608--2431572768,2,1
https://www.trulia.com/p/il/chicago/2737-w-16th-st-chicago-il-60608--2103834456,NA,1
https://www.trulia.com/p/il/chicago/2010-w-23rd-st-1-chicago-il-60608--2171983559,4,0
https://www.trulia.com/p/il/chicago/2818-s-hillock-ave-2-chicago-il-60608--2431376344,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60608--2431546564,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60608--2431518698,3,0
https://www.trulia.com/p/il/chicago/1045-w-31st-pl-1-chicago-il-60608--2425981988,2,1
https://www.trulia.com/p/il/chicago/1715-s-carpenter-st-1-chicago-il-60608--2360359981,4,0
https://www.trulia.com/p/il/chicago/2737-w-16th-st-t-chicago-il-60608--2431569104,2,1
https://www.trulia.com/p/il/chicago/2831-s-hillock-ave-2f-chicago-il-60608--2357049342,NA,0
https://www.trulia.com/p/il/chicago/1702-s-morgan-st-2r-chicago-il-60608--2431534732,3,0
https://www.trulia.com/p/il/chicago/2104-s-washtenaw-ave-1r-chicago-il-60608--2174009236,4,0
https://www.trulia.com/c/il/chicago/1901-w-21st-pl-1901-w-21st-pl-chicago-il-60608--2103827887,2,1
https://www.trulia.com/p/il/chicago/1702-s-morgan-st-1r-chicago-il-60608--2188614381,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60608--2103825368,3,0
https://www.trulia.com/p/il/chicago/2045-w-22nd-pl-1r-chicago-il-60608--2431567317,2,1
https://www.trulia.com/p/il/chicago/1050-w-32nd-st-2b-s-chicago-il-60608--2431567889,2,1
https://www.trulia.com/p/il/chicago/1726-w-21st-st-2f-chicago-il-60608--2431378742,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60608--2367278243,2,1
https://www.trulia.com/p/il/chicago/2831-s-hillock-ave-1-f-chicago-il-60608--2431364731,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60608--2429146046,2,1
https://www.trulia.com/c/il/chicago/1632-s-allport-st-1632-s-allport-st-chicago-il-60608--2103825546,3,0
https://www.trulia.com/p/il/chicago/815-w-university-ln-chicago-il-60608--2103839138,3,0
https://www.trulia.com/p/il/chicago/3219-s-lituanica-ave-1r-chicago-il-60608--2327233620,4,0
https://www.trulia.com/p/il/chicago/3055-s-poplar-ave-2-chicago-il-60608--2173002494,3,0
https://www.trulia.com/p/il/chicago/1516-w-19th-st-3-chicago-il-60608--2103824118,2,1
https://www.trulia.com/c/il/chicago/2-bed-1350-sqft-1-985-1657-s-throop-st-3r-chicago-il-60608--2185869643,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60608--2315330810,2,1
https://www.trulia.com/p/il/chicago/1946-s-racine-ave-threer-chicago-il-60608--2103828492,NA,0
https://www.trulia.com/p/il/chicago/5117-s-western-ave-1c-chicago-il-60609--2431561140,2,1
https://www.trulia.com/p/il/chicago/3701-s-halsted-st-chicago-il-60609--2103846008,5,0
https://www.trulia.com/p/il/chicago/3610-s-emerald-ave-1-chicago-il-60609--2344955237,3,0
https://www.trulia.com/p/il/chicago/2332-w-42nd-st-chicago-il-60609--2213854564,3,0
https://www.trulia.com/p/il/chicago/5357-s-laflin-st-1-chicago-il-60609--2354001191,5,0
https://www.trulia.com/p/il/chicago/552-w-43rd-st-1-chicago-il-60609--2431528089,3,0
https://www.trulia.com/p/il/chicago/4311-s-wood-st-chicago-il-60609--1001276487,2,1
https://www.trulia.com/p/il/chicago/5418-s-aberdeen-st-chicago-il-60609--1001084983,3,0
https://www.trulia.com/p/il/chicago/5115-s-western-blvd-1c7-chicago-il-60609--2431563541,2,1
https://www.trulia.com/p/il/chicago/3632-s-parnell-ave-2f-chicago-il-60609--2173993213,4,0
https://www.trulia.com/p/il/chicago/730-w-48th-pl-chicago-il-60609--2103860334,3,0
https://www.trulia.com/p/il/chicago/3556-s-seeley-ave-301-chicago-il-60609--2103844769,NA,0
https://www.trulia.com/p/il/chicago/335-w-chestnut-st-2312-chicago-il-60610--2431564801,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2344337369,3,0
https://www.trulia.com/p/il/chicago/847-n-larrabee-st-1f-chicago-il-60610--2103886829,5,0
https://www.trulia.com/p/il/chicago/858-n-franklin-st-504-chicago-il-60610--1142269558,5,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431521178,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431383594,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431416771,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2213820038,2,1
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2409548076,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2361604734,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2103886587,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431570883,2,1
https://www.trulia.com/p/il/chicago/1201-n-la-salle-dr-413-chicago-il-60610--2344337036,3,0
https://www.trulia.com/p/il/chicago/30-e-division-st-14b-chicago-il-60610--2103882971,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2173386781,3,0
https://www.trulia.com/p/il/chicago/1132-n-dearborn-st-chicago-il-60610--1008462502,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431387789,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431521543,3,0
https://www.trulia.com/p/il/chicago/1011-n-clark-st-209-chicago-il-60610--2431386348,4,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2418639539,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431537740,3,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--1078829192,NA,0
https://www.trulia.com/p/il/chicago/1102-n-dearborn-st-chicago-il-60610--2103862959,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431143435,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431564845,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431522712,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2344336885,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2402656959,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2103871113,NA,0
https://www.trulia.com/p/il/chicago/30-e-division-st-chicago-il-60610--1277478,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2408008688,NA,0
https://www.trulia.com/p/il/chicago/1247-n-state-pkwy-201-chicago-il-60610--2431439681,NA,0
https://www.trulia.com/p/il/chicago/1201-n-la-salle-dr-2701-chicago-il-60610--2344337348,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431386653,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431388016,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--1001038295,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2103881116,NA,0
https://www.trulia.com/c/il/chicago/north-park-pointe-1552-n-north-park-ave-chicago-il-60610--2360651017,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431578319,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2312241269,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431521014,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431520982,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431472456,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2369656738,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--1001497832,NA,0
https://www.trulia.com/p/il/chicago/30-e-division-st-14-chicago-il-60610--2324545655,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2103876620,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--1001181923,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431570936,NA,0
https://www.trulia.com/p/il/chicago/1425-n-dearborn-st-1608-chicago-il-60610--2364552021,NA,0
https://www.trulia.com/p/il/chicago/28-e-division-st-14b-chicago-il-60610--2431401603,NA,0
https://www.trulia.com/p/il/chicago/1-e-scott-st-6510e-chicago-il-60610--2431575579,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2103875475,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2103877583,NA,0
https://www.trulia.com/p/il/chicago/1255-n-sandburg-ter-501e-chicago-il-60610--2103870367,NA,0
https://www.trulia.com/p/il/chicago/1122-n-dearborn-st-15i-chicago-il-60610--2103864721,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--1001933908,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2344336886,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--1201269,NA,0
https://www.trulia.com/p/il/chicago/1442-n-north-park-ave-b-chicago-il-60610--2431556192,NA,0
https://www.trulia.com/p/il/chicago/1344-n-dearborn-st-9e-chicago-il-60610--2103872536,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431558069,NA,0
https://www.trulia.com/p/il/chicago/1540-n-la-salle-dr-1606-chicago-il-60610--2103879356,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431376185,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431558085,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431568524,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2393230771,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431564770,NA,0
https://www.trulia.com/p/il/chicago/1147-n-wells-st-1309-chicago-il-60610--2431564839,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2429895972,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2431564825,NA,0
https://www.trulia.com/p/il/chicago/address-not-disclosed-chicago-il-60610--2288904206,NA,0
https://www.trulia.com/p/il/chicago/367-w-locust-st-204-chicago-il-60610--2103883780,NA,0
https://www.trulia.com/p/il/chicago/873-n-larrabee-st-605-chicago-il-60610--2103887369,NA,0
https://www.trulia.com/p/il/chicago/1221-n-wells-st-1502-chicago-il-60610--2431378855,NA,0
https://www.trulia.com/p/il/chicago/1122-n-dearborn-st-11d-chicago-il-60610--2103864700/rent,NA,0
https://www.trulia.com/p/il/chicago/57-w-burton-pl-chicago-il-60610--2103885209,NA,0
https://www.trulia.com/p/il/chicago/831-n-clark-st-2011-chicago-il-60610--2392572310,NA,0
https://www.trulia.com/p/il/chicago/1220-n-wells-st-510-chicago-il-60610--2415644686,NA,0
https://www.trulia.com/p/il/chicago/1-e-scott-st-1410-chicago-il-60610--2103881333,NA,0
https://www.trulia.com/p/il/chicago/1203-n-lasalle-st-2204-chicago-il-60610--2402243353,NA,0
https://www.trulia.com/p/il/chicago/1220-n-wells-st-605-chicago-il-60610--2357582324,NA,0
